iter	Passed	Remaining
0	19	9530
1	34	8630
2	44	7308
3	55	6825
4	68	6772
5	85	7001
6	100	7053
7	119	7364
8	137	7505
9	152	7464
10	169	7556
11	183	7446
12	199	7466
13	213	7411
14	230	7436
15	246	7455
16	261	7425
17	270	7255
18	287	7274
19	301	7230
20	317	7240
21	327	7126
22	338	7016
23	350	6952
24	365	6937
25	374	6831
26	388	6797
27	402	6781
28	416	6758
29	434	6803
30	446	6759
31	466	6829
32	481	6812
33	498	6826
34	515	6849
35	527	6800
36	538	6735
37	553	6728
38	564	6668
39	573	6595
40	586	6568
41	599	6536
42	610	6493
43	627	6505
44	641	6485
45	657	6492
46	669	6454
47	683	6440
48	698	6425
49	710	6397
50	724	6379
51	737	6350
52	754	6363
53	767	6342
54	781	6322
55	801	6353
56	817	6351
57	837	6380
58	856	6404
59	874	6411
60	893	6432
61	911	6436
62	924	6410
63	932	6355
64	947	6337
65	961	6319
66	977	6319
67	996	6329
68	1008	6299
69	1020	6270
70	1034	6250
71	1051	6251
72	1067	6243
73	1077	6202
74	1090	6180
75	1108	6185
76	1126	6185
77	1139	6165
78	1158	6172
79	1175	6171
80	1194	6177
81	1210	6169
82	1228	6169
83	1243	6156
84	1261	6158
85	1278	6153
86	1294	6142
87	1309	6131
88	1326	6126
89	1346	6133
90	1359	6108
91	1376	6104
92	1394	6101
93	1408	6081
94	1423	6070
95	1439	6059
96	1455	6046
97	1468	6024
98	1483	6008
99	1500	6002
100	1514	5981
101	1530	5971
102	1546	5961
103	1562	5949
104	1577	5935
105	1593	5921
106	1608	5906
107	1619	5877
108	1636	5870
109	1654	5864
110	1666	5839
111	1682	5828
112	1695	5806
113	1709	5789
114	1724	5773
115	1741	5764
116	1762	5770
117	1785	5780
118	1807	5786
119	1832	5802
120	1856	5815
121	1882	5831
122	1904	5836
123	1928	5847
124	1949	5848
125	1973	5856
126	1992	5851
127	2013	5850
128	2025	5826
129	2046	5824
130	2066	5820
131	2081	5802
132	2100	5796
133	2120	5792
134	2134	5770
135	2155	5769
136	2175	5762
137	2190	5745
138	2212	5745
139	2229	5732
140	2249	5728
141	2276	5739
142	2299	5739
143	2321	5738
144	2346	5745
145	2372	5751
146	2392	5746
147	2415	5745
148	2437	5742
149	2450	5718
150	2460	5687
151	2474	5666
152	2488	5643
153	2502	5621
154	2519	5608
155	2534	5588
156	2552	5576
157	2568	5560
158	2583	5541
159	2597	5519
160	2609	5494
161	2624	5475
162	2636	5451
163	2656	5442
164	2671	5422
165	2683	5398
166	2698	5381
167	2715	5365
168	2729	5346
169	2749	5336
170	2767	5325
171	2781	5304
172	2798	5289
173	2812	5269
174	2828	5252
175	2843	5234
176	2860	5219
177	2879	5209
178	2889	5182
179	2901	5158
180	2912	5132
181	2923	5108
182	2942	5096
183	2961	5086
184	2979	5072
185	2993	5053
186	3008	5035
187	3027	5023
188	3044	5008
189	3061	4994
190	3080	4983
191	3102	4976
192	3118	4960
193	3132	4940
194	3148	4924
195	3168	4914
196	3184	4898
197	3206	4890
198	3221	4872
199	3241	4862
200	3259	4848
201	3277	4835
202	3300	4828
203	3319	4817
204	3341	4809
205	3363	4800
206	3384	4790
207	3404	4780
208	3422	4765
209	3442	4754
210	3463	4744
211	3484	4734
212	3505	4723
213	3522	4707
214	3536	4687
215	3550	4668
216	3574	4661
217	3606	4665
218	3625	4651
219	3647	4642
220	3668	4631
221	3687	4618
222	3707	4605
223	3728	4594
224	3742	4574
225	3758	4556
226	3777	4542
227	3805	4539
228	3841	4546
229	3866	4538
230	3881	4519
231	3896	4501
232	3919	4490
233	3934	4472
234	3952	4457
235	3970	4441
236	3986	4424
237	4007	4411
238	4024	4395
239	4045	4382
240	4066	4370
241	4080	4350
242	4098	4334
243	4114	4316
244	4131	4300
245	4148	4283
246	4167	4268
247	4185	4252
248	4204	4238
249	4218	4218
250	4231	4197
251	4244	4176
252	4263	4161
253	4273	4138
254	4284	4116
255	4297	4095
256	4314	4079
257	4328	4060
258	4345	4043
259	4358	4023
260	4370	4002
261	4387	3985
262	4403	3967
263	4421	3952
264	4434	3932
265	4451	3915
266	4466	3897
267	4482	3880
268	4494	3859
269	4512	3844
270	4527	3826
271	4538	3804
272	4555	3788
273	4570	3769
274	4583	3749
275	4596	3730
276	4608	3710
277	4620	3689
278	4641	3676
279	4655	3657
280	4673	3642
281	4686	3622
282	4701	3605
283	4723	3592
284	4742	3577
285	4756	3558
286	4767	3537
287	4780	3518
288	4799	3503
289	4817	3488
290	4834	3472
291	4856	3459
292	4875	3444
293	4892	3427
294	4906	3409
295	4917	3389
296	4933	3371
297	4967	3367
298	4995	3358
299	5029	3353
300	5053	3340
301	5071	3324
302	5081	3304
303	5104	3291
304	5119	3273
305	5137	3257
306	5155	3241
307	5173	3224
308	5189	3207
309	5203	3188
310	5219	3172
311	5239	3157
312	5253	3138
313	5271	3122
314	5285	3104
315	5300	3086
316	5312	3066
317	5332	3052
318	5346	3033
319	5363	3017
320	5382	3001
321	5396	2983
322	5415	2967
323	5430	2949
324	5448	2933
325	5466	2917
326	5484	2901
327	5504	2886
328	5516	2867
329	5533	2850
330	5551	2834
331	5580	2823
332	5609	2813
333	5639	2802
334	5666	2790
335	5690	2777
336	5708	2761
337	5730	2746
338	5753	2732
339	5780	2720
340	5805	2707
341	5829	2692
342	5846	2676
343	5863	2658
344	5890	2646
345	5913	2632
346	5941	2619
347	5965	2605
348	5988	2591
349	6010	2575
350	6031	2560
351	6052	2544
352	6076	2530
353	6101	2516
354	6131	2504
355	6157	2490
356	6183	2476
357	6208	2462
358	6238	2450
359	6262	2435
360	6284	2419
361	6315	2407
362	6347	2395
363	6366	2378
364	6394	2365
365	6413	2348
366	6433	2331
367	6448	2312
368	6464	2295
369	6482	2277
370	6503	2261
371	6517	2242
372	6534	2224
373	6553	2207
374	6566	2188
375	6585	2171
376	6599	2153
377	6618	2136
378	6641	2120
379	6663	2104
380	6694	2091
381	6714	2074
382	6735	2057
383	6756	2041
384	6780	2025
385	6799	2008
386	6816	1990
387	6833	1972
388	6851	1955
389	6872	1938
390	6887	1920
391	6905	1902
392	6924	1885
393	6949	1869
394	6970	1852
395	6993	1836
396	7016	1820
397	7036	1803
398	7054	1785
399	7075	1768
400	7093	1751
401	7110	1733
402	7126	1715
403	7140	1696
404	7156	1678
405	7174	1661
406	7187	1642
407	7203	1624
408	7220	1606
409	7233	1587
410	7248	1569
411	7265	1551
412	7277	1533
413	7299	1516
414	7317	1498
415	7337	1481
416	7350	1462
417	7369	1445
418	7384	1427
419	7400	1409
420	7414	1391
421	7433	1373
422	7450	1356
423	7465	1338
424	7488	1321
425	7508	1304
426	7529	1287
427	7548	1269
428	7571	1253
429	7590	1235
430	7611	1218
431	7632	1201
432	7647	1183
433	7663	1165
434	7681	1147
435	7702	1130
436	7721	1113
437	7737	1095
438	7754	1077
439	7770	1059
440	7789	1042
441	7804	1024
442	7826	1007
443	7843	989
444	7854	970
445	7870	952
446	7888	935
447	7902	917
448	7918	899
449	7937	881
450	7951	863
451	7966	846
452	7983	828
453	7999	810
454	8016	792
455	8030	774
456	8047	757
457	8060	739
458	8076	721
459	8089	703
460	8107	685
461	8127	668
462	8148	651
463	8164	633
464	8184	616
465	8198	598
466	8214	580
467	8232	562
468	8253	545
469	8270	527
470	8283	510
471	8296	492
472	8312	474
473	8326	456
474	8338	438
475	8353	421
476	8368	403
477	8386	385
478	8403	368
479	8420	350
480	8437	333
481	8452	315
482	8467	298
483	8480	280
484	8495	262
485	8515	245
486	8531	227
487	8553	210
488	8571	192
489	8586	175
490	8608	157
491	8627	140
492	8648	122
493	8665	105
494	8676	87
495	8694	70
496	8710	52
497	8726	35
498	8746	17
499	8769	0
