iter	RMSE
0	1032.893519
1	930.5095415
2	838.9332325
3	756.0036907
4	681.0694295
5	613.717065
6	553.1915247
7	498.4858207
8	449.600513
9	405.4129817
10	365.8059404
11	329.8495506
12	297.4246964
13	268.3837048
14	242.2126895
15	218.7567767
16	197.5631926
17	178.383752
18	161.1438012
19	145.7547658
20	131.9905566
21	119.4728526
22	108.2963838
23	98.24766073
24	89.12322479
25	81.00435961
26	73.74966662
27	67.16036177
28	61.33479139
29	56.04985344
30	51.41629137
31	47.28399055
32	43.53384407
33	40.27943393
34	37.36909507
35	34.74822296
36	32.46929584
37	30.41787423
38	28.61680527
39	27.0417755
40	25.65104815
41	24.43084328
42	23.37207903
43	22.36760094
44	21.57182202
45	20.85457421
46	20.21493783
47	19.70663761
48	19.21090508
49	18.76433654
50	18.38450959
51	17.99824409
52	17.71916222
53	17.48115334
54	17.23411436
55	16.93711665
56	16.77346364
57	16.54436477
58	16.35473296
59	16.15412724
60	16.00052859
61	15.82041765
62	15.66448105
63	15.55153005
64	15.38239627
65	15.29931137
66	15.14830913
67	14.96997516
68	14.85943605
69	14.74489369
70	14.67697755
71	14.58150493
72	14.50213977
73	14.38839241
74	14.32386627
75	14.18517732
76	14.10201426
77	14.00478149
78	13.89825486
79	13.79555317
80	13.71996581
81	13.62817298
82	13.55885658
83	13.46739051
84	13.40507318
85	13.32857634
86	13.2625085
87	13.1881337
88	13.09279331
89	13.01307414
90	12.93009184
91	12.8423903
92	12.78720255
93	12.69362812
94	12.63328403
95	12.59393195
96	12.52189817
97	12.46707127
98	12.3833562
99	12.33008329
100	12.27932403
101	12.20723257
102	12.13315524
103	12.06910603
104	11.99785133
105	11.96783844
106	11.90071315
107	11.87276999
108	11.82810408
109	11.76364092
110	11.69538629
111	11.61491419
112	11.57358191
113	11.52110834
114	11.49384286
115	11.43228012
116	11.37877357
117	11.32650716
118	11.28678029
119	11.23500876
120	11.18062529
121	11.11315338
122	11.0699923
123	11.03794247
124	10.99308733
125	10.93247427
126	10.87933324
127	10.82467984
128	10.79249705
129	10.75914462
130	10.71335237
131	10.66037038
132	10.62383665
133	10.57335666
134	10.53714891
135	10.4844351
136	10.45605103
137	10.41441422
138	10.37381186
139	10.33882589
140	10.29333967
141	10.25365422
142	10.23347677
143	10.19924587
144	10.15795264
145	10.0991052
146	10.08512592
147	10.03951764
148	9.992447564
149	9.957223485
150	9.917509272
151	9.865469478
152	9.826116773
153	9.787930672
154	9.74917624
155	9.702655455
156	9.664257296
157	9.628825008
158	9.598004992
159	9.56420018
160	9.547466075
161	9.520849495
162	9.484080585
163	9.447184881
164	9.42206341
165	9.402689834
166	9.369094421
167	9.346571796
168	9.315467205
169	9.270973687
170	9.236405903
171	9.201939134
172	9.17854574
173	9.153859303
174	9.135390462
175	9.106402372
176	9.080046976
177	9.050427837
178	9.031152829
179	9.003686293
180	8.982228091
181	8.936104707
182	8.892038448
183	8.874639343
184	8.841343873
185	8.819816713
186	8.787140942
187	8.755840006
188	8.729821978
189	8.713926062
190	8.692141258
191	8.670361626
192	8.642975633
193	8.616938625
194	8.591046822
195	8.566712267
196	8.530263715
197	8.492996691
198	8.477636356
199	8.450034214
200	8.42992453
201	8.400644886
202	8.381843276
203	8.353767816
204	8.334835889
205	8.306370348
206	8.28310495
207	8.262767795
208	8.243144764
209	8.223895211
210	8.199469129
211	8.168048705
212	8.140671413
213	8.120096079
214	8.101156603
215	8.087969405
216	8.066530056
217	8.044753431
218	8.019705054
219	8.001559384
220	7.985007095
221	7.964556638
222	7.939162023
223	7.918999913
224	7.905147194
225	7.890114713
226	7.865897253
227	7.841756879
228	7.821675068
229	7.807139555
230	7.790560901
231	7.774603266
232	7.761767729
233	7.748454474
234	7.732061219
235	7.711539571
236	7.695355324
237	7.678559017
238	7.658533311
239	7.639585477
240	7.619779078
241	7.599841701
242	7.572058188
243	7.554044402
244	7.537540071
245	7.520319528
246	7.506127362
247	7.49298427
248	7.477727558
249	7.461019899
250	7.446727453
251	7.436031195
252	7.416722703
253	7.403861681
254	7.390538976
255	7.37244025
256	7.354011779
257	7.334506958
258	7.312065201
259	7.299162183
260	7.287717329
261	7.275359843
262	7.260447558
263	7.241254875
264	7.225893426
265	7.205362054
266	7.19104349
267	7.177499069
268	7.168482541
269	7.147332708
270	7.129538888
271	7.1158473
272	7.105314898
273	7.087837514
274	7.076299986
275	7.057799177
276	7.042275038
277	7.035376574
278	7.012131559
279	6.999933836
280	6.990140176
281	6.972356985
282	6.959365494
283	6.939997888
284	6.922482381
285	6.90463698
286	6.892605402
287	6.878963544
288	6.866364751
289	6.853565826
290	6.841033598
291	6.828916802
292	6.819945173
293	6.803744852
294	6.790962576
295	6.781107889
296	6.771664929
297	6.761252153
298	6.750479511
299	6.736269438
