iter	Passed	Remaining
0	26	13114
1	42	10550
2	65	10794
3	83	10348
4	103	10258
5	121	9988
6	143	10080
7	168	10332
8	186	10178
9	215	10548
10	235	10470
11	267	10893
12	286	10735
13	302	10507
14	316	10231
15	346	10470
16	366	10411
17	391	10477
18	423	10733
19	448	10760
20	482	11002
21	506	10999
22	526	10918
23	552	10956
24	572	10869
25	600	10942
26	621	10890
27	645	10876
28	662	10763
29	679	10650
30	704	10660
31	729	10674
32	750	10617
33	774	10619
34	797	10588
35	818	10544
36	848	10619
37	868	10564
38	892	10548
39	922	10610
40	953	10678
41	976	10651
42	1008	10720
43	1039	10777
44	1057	10693
45	1099	10852
46	1121	10807
47	1152	10850
48	1175	10819
49	1219	10975
50	1239	10912
51	1278	11010
52	1302	10981
53	1336	11041
54	1365	11051
55	1390	11024
56	1489	11572
57	1586	12089
58	1603	11981
59	1689	12389
60	1713	12330
61	1749	12360
62	1786	12390
63	1810	12332
64	1837	12294
65	1858	12218
66	1874	12115
67	1898	12060
68	1923	12012
69	1939	11917
70	1956	11822
71	1978	11763
72	1994	11668
73	2015	11604
74	2038	11550
75	2063	11510
76	2077	11412
77	2090	11309
78	2106	11224
79	2122	11144
80	2135	11047
81	2150	10962
82	2163	10871
83	2178	10791
84	2194	10715
85	2208	10633
86	2222	10549
87	2236	10469
88	2255	10416
89	2269	10336
90	2282	10259
91	2294	10173
92	2308	10104
93	2323	10033
94	2336	9962
95	2351	9896
96	2373	9862
97	2392	9812
98	2412	9771
99	2425	9700
100	2440	9640
101	2453	9573
102	2464	9500
103	2481	9448
104	2500	9407
105	2520	9369
106	2535	9312
107	2548	9251
108	2570	9220
109	2587	9174
110	2600	9114
111	2616	9062
112	2628	9002
113	2649	8972
114	2666	8928
115	2685	8889
116	2707	8863
117	2719	8804
118	2733	8751
119	2751	8713
120	2765	8663
121	2777	8606
122	2792	8559
123	2807	8512
124	2825	8475
125	2841	8433
126	2854	8384
127	2872	8348
128	2890	8311
129	2908	8277
130	2928	8249
131	2943	8206
132	2954	8153
133	2970	8113
134	2987	8076
135	3004	8041
136	3027	8021
137	3041	7979
138	3055	7935
139	3069	7894
140	3091	7871
141	3107	7835
142	3125	7804
143	3141	7767
144	3155	7725
145	3174	7696
146	3188	7656
147	3200	7611
148	3217	7579
149	3231	7539
150	3243	7497
151	3261	7467
152	3274	7425
153	3290	7392
154	3304	7354
155	3326	7336
156	3343	7303
157	3366	7287
158	3385	7261
159	3400	7225
160	3419	7200
161	3442	7182
162	3460	7154
163	3472	7114
164	3484	7074
165	3510	7062
166	3559	7097
167	3582	7079
168	3601	7053
169	3615	7018
170	3627	6979
171	3647	6954
172	3663	6924
173	3675	6886
174	3695	6862
175	3720	6849
176	3734	6814
177	3752	6788
178	3769	6759
179	3781	6721
180	3794	6688
181	3809	6655
182	3823	6622
183	3845	6604
184	3859	6572
185	3877	6545
186	3892	6515
187	3910	6489
188	3929	6465
189	3944	6436
190	3965	6415
191	3982	6389
192	3995	6355
193	4010	6325
194	4022	6291
195	4033	6256
196	4049	6228
197	4064	6199
198	4077	6167
199	4091	6136
200	4105	6107
201	4118	6075
202	4132	6046
203	4146	6016
204	4162	5990
205	4177	5962
206	4188	5929
207	4202	5899
208	4214	5868
209	4226	5837
210	4237	5804
211	4251	5775
212	4263	5744
213	4277	5716
214	4293	5691
215	4311	5669
216	4326	5642
217	4340	5615
218	4363	5599
219	4379	5573
220	4400	5554
221	4437	5556
222	4467	5549
223	4486	5527
224	4510	5512
225	4526	5488
226	4544	5464
227	4568	5450
228	4600	5443
229	4626	5431
230	4658	5425
231	4688	5415
232	4719	5408
233	4738	5386
234	4760	5368
235	4798	5367
236	4815	5343
237	4842	5330
238	4870	5318
239	4903	5311
240	4929	5297
241	4959	5287
242	4971	5258
243	4993	5239
244	5018	5223
245	5038	5202
246	5054	5177
247	5073	5155
248	5090	5131
249	5108	5108
250	5124	5083
251	5135	5054
252	5148	5026
253	5165	5002
254	5184	4981
255	5204	4960
256	5223	4938
257	5238	4913
258	5251	4886
259	5274	4869
260	5295	4848
261	5307	4821
262	5323	4797
263	5336	4770
264	5350	4745
265	5366	4720
266	5384	4699
267	5397	4672
268	5413	4648
269	5428	4623
270	5442	4598
271	5458	4575
272	5477	4554
273	5491	4529
274	5502	4502
275	5516	4477
276	5531	4453
277	5548	4430
278	5570	4412
279	5587	4390
280	5599	4364
281	5614	4339
282	5629	4316
283	5642	4291
284	5656	4266
285	5673	4245
286	5689	4222
287	5700	4196
288	5713	4171
289	5730	4149
290	5743	4125
291	5754	4099
292	5772	4077
293	5787	4055
294	5804	4033
295	5822	4013
296	5836	3989
297	5849	3965
298	5861	3940
299	5874	3916
300	5886	3891
301	5901	3869
302	5917	3847
303	5933	3825
304	5951	3805
305	5972	3786
306	5986	3763
307	5998	3739
308	6013	3716
309	6033	3697
310	6048	3675
311	6060	3651
312	6074	3628
313	6088	3606
314	6104	3584
315	6115	3560
316	6128	3537
317	6146	3517
318	6160	3495
319	6171	3471
320	6186	3449
321	6202	3428
322	6219	3408
323	6237	3388
324	6254	3367
325	6275	3349
326	6294	3329
327	6309	3308
328	6325	3287
329	6337	3264
330	6352	3243
331	6375	3226
332	6403	3211
333	6418	3189
334	6431	3167
335	6443	3144
336	6455	3122
337	6478	3105
338	6494	3084
339	6510	3063
