iter	RMSE
0	1035.208335
1	932.5893534
2	840.8622599
3	757.7671756
4	682.6732967
5	615.1956731
6	554.5084046
7	499.6608605
8	450.2682054
9	405.9811291
10	366.3284204
11	330.473388
12	298.0390979
13	269.2110024
14	242.8084835
15	219.326704
16	198.0867813
17	178.8551677
18	161.7072355
19	146.2606129
20	132.4098675
21	119.9158658
22	108.7011372
23	98.62044269
24	89.46524791
25	81.3293913
26	74.10235372
27	67.55698796
28	61.70724036
29	56.43220197
30	51.80352322
31	47.64455097
32	43.92612397
33	40.56445255
34	37.66050874
35	35.07496071
36	32.78878561
37	30.72311792
38	28.94493978
39	27.43109201
40	26.05614063
41	24.8636797
42	23.8612965
43	22.88504051
44	22.04603514
45	21.27421687
46	20.65009496
47	20.15988828
48	19.69116557
49	19.15536595
50	18.73620028
51	18.37285155
52	18.05728696
53	17.73446791
54	17.53022987
55	17.21983062
56	16.95458826
57	16.71851375
58	16.49383116
59	16.32209725
60	16.11909246
61	16.02517098
62	15.91313404
63	15.74256641
64	15.61146726
65	15.46759683
66	15.32110667
67	15.17024607
68	15.06912721
69	14.88826715
70	14.78247373
71	14.68983349
72	14.55708809
73	14.43157193
74	14.3751724
75	14.22678567
76	14.12783535
77	13.97709851
78	13.89309269
79	13.77340456
80	13.69600255
81	13.59358111
82	13.53219514
83	13.42942068
84	13.31254805
85	13.2547588
86	13.19137517
87	13.12771563
88	13.06544884
89	12.99582866
90	12.91025514
91	12.83545136
92	12.76000658
93	12.68109047
94	12.62072517
95	12.56097006
96	12.47117911
97	12.40769716
98	12.35469687
99	12.28459179
100	12.24829137
101	12.18933842
102	12.16250439
103	12.0634661
104	12.00344399
105	11.9207338
106	11.8777595
107	11.85327124
108	11.80187811
109	11.74649584
110	11.70619789
111	11.65715585
112	11.61335612
113	11.55993576
114	11.51686383
115	11.46735421
116	11.40997374
117	11.36713389
118	11.33935108
119	11.30029672
120	11.2675664
121	11.21107634
122	11.15550548
123	11.1233922
124	11.06291818
125	11.01006968
126	10.97052353
127	10.93202352
128	10.89006759
129	10.84036609
130	10.79106662
131	10.73367054
132	10.69290062
133	10.65977237
134	10.63615038
135	10.58069034
136	10.53109526
137	10.50034801
138	10.46715985
139	10.43800704
140	10.38557453
141	10.33516627
142	10.29761909
143	10.25658286
144	10.20044835
145	10.15978627
146	10.12194509
147	10.05617497
148	10.00949697
149	9.986025525
150	9.952195494
151	9.915758885
152	9.866171146
153	9.825291663
154	9.791625683
155	9.75779353
156	9.720017265
157	9.685606055
158	9.654282855
159	9.625757071
160	9.591590766
161	9.562441965
162	9.544704281
163	9.496734833
164	9.464222141
165	9.431726808
166	9.396241517
167	9.371263841
168	9.340090221
169	9.302450739
170	9.278244385
171	9.247291094
172	9.20682003
173	9.177638837
174	9.154135569
175	9.121201705
176	9.090039391
177	9.068596873
178	9.030235063
179	9.004056945
180	8.978384118
181	8.951215642
182	8.910730462
183	8.884251825
184	8.859805798
185	8.847110712
186	8.825218979
187	8.816219177
188	8.798307497
189	8.773301083
190	8.738083876
191	8.708943157
192	8.684879202
193	8.659110086
194	8.634298429
195	8.617368677
196	8.593005964
197	8.56278142
198	8.53869154
199	8.514360904
200	8.495382645
201	8.477347225
202	8.455284828
203	8.439070382
204	8.410581895
205	8.388396884
206	8.358122967
207	8.333346346
208	8.320295925
209	8.29676188
210	8.282030875
211	8.265104059
212	8.251134513
213	8.228190321
214	8.207146796
215	8.186775057
216	8.167931655
217	8.142515228
218	8.118739597
219	8.104111417
220	8.092013419
221	8.077473269
222	8.043023492
223	8.026493347
224	8.004986566
225	7.982649785
226	7.964937075
227	7.936906447
228	7.926000996
229	7.908947888
230	7.888494533
231	7.870626608
232	7.841528306
233	7.817839368
234	7.803450859
235	7.786312859
236	7.763488797
237	7.745793126
238	7.727263454
239	7.700939036
240	7.691266431
241	7.666717274
242	7.652112641
243	7.637251206
244	7.623857636
245	7.605259817
246	7.582377172
247	7.565075116
248	7.545594358
249	7.527311171
250	7.51780437
251	7.500680265
252	7.492156061
253	7.475863739
254	7.457438728
255	7.437984675
256	7.4269059
257	7.406557893
258	7.390161197
259	7.376852536
260	7.366714773
261	7.351980007
262	7.338690785
263	7.317827623
264	7.300012858
265	7.285679005
266	7.276067596
267	7.258152093
268	7.238855574
