iter	RMSE
0	1033.418149
1	930.9144499
2	838.8187114
3	755.8942575
4	680.929268
5	613.6336829
6	553.1321875
7	498.4180516
8	449.1159167
9	404.9555519
10	365.3333244
11	329.4806394
12	297.246873
13	268.1283939
14	241.8304155
15	218.1440863
16	197.0134371
17	177.9068824
18	160.7357738
19	145.2999466
20	131.4980611
21	119.0062079
22	107.8765526
23	97.83449435
24	88.69208239
25	80.57748199
26	73.34754076
27	66.82886811
28	60.99655177
29	55.7365926
30	51.03835985
31	46.85460976
32	43.08183873
33	39.80775374
34	36.89658355
35	34.28453156
36	31.95839569
37	29.89436562
38	28.1060147
39	26.53770775
40	25.15504929
41	23.97234046
42	22.92357598
43	21.9755797
44	21.15296443
45	20.41817071
46	19.78967544
47	19.19334676
48	18.70534364
49	18.32173772
50	17.90818237
51	17.56975358
52	17.25344452
53	17.01008865
54	16.69007956
55	16.42085195
56	16.19166429
57	15.99992711
58	15.81169179
59	15.66181503
60	15.4863837
61	15.31661136
62	15.16573201
63	15.03726677
64	14.94443368
65	14.81922289
66	14.69891908
67	14.61407475
68	14.50081129
69	14.39667299
70	14.31805552
71	14.22383342
72	14.1349831
73	13.95071959
74	13.86359909
75	13.7606011
76	13.66952947
77	13.59439294
78	13.50918844
79	13.4115267
80	13.32887149
81	13.26252145
82	13.16587137
83	13.09200656
84	13.00732061
85	12.95454142
86	12.89607075
87	12.81645804
88	12.74898566
89	12.64196531
90	12.58817579
91	12.54961427
92	12.51292653
93	12.44518598
94	12.3654966
95	12.29277892
96	12.22163739
97	12.15486694
98	12.12566748
99	12.06981686
100	12.03179098
101	11.98672438
102	11.93918186
103	11.8929822
104	11.84819158
105	11.80566542
106	11.75899991
107	11.68292065
108	11.62879903
109	11.57400516
110	11.49806836
111	11.42368166
112	11.36842583
113	11.30292155
114	11.25058135
115	11.16542044
116	11.1160398
117	11.07351253
118	11.02171033
119	10.95774868
120	10.91069298
121	10.86955662
122	10.82583025
123	10.76749209
124	10.73103391
125	10.67922382
126	10.62348871
127	10.59088674
128	10.52433235
129	10.48500564
130	10.44979627
131	10.41982307
132	10.38920095
133	10.33811981
134	10.31490423
135	10.27286534
136	10.22150372
137	10.17585735
138	10.14312065
139	10.09346974
140	10.04041071
141	10.00844948
142	9.978159048
143	9.944832855
144	9.896939725
145	9.8462097
146	9.819732221
147	9.780506193
148	9.735698881
149	9.692817195
150	9.668857593
151	9.638057004
152	9.597509445
153	9.574004939
154	9.542594088
155	9.510389951
156	9.483096633
157	9.452730292
158	9.431672086
159	9.40114768
160	9.363576247
161	9.334692068
162	9.291010651
163	9.268599874
164	9.234110112
165	9.205243886
166	9.163812608
167	9.140956782
168	9.113140847
169	9.082467863
170	9.043747397
171	9.02321099
172	8.98571453
173	8.956405117
174	8.939167047
175	8.900877765
176	8.877318322
177	8.859786669
178	8.836780447
179	8.800018656
180	8.777500043
181	8.757951195
182	8.726904713
183	8.706283151
184	8.669100336
185	8.651980147
186	8.622291786
187	8.599607934
188	8.580627233
189	8.548772568
190	8.516192639
191	8.488642017
192	8.462762899
193	8.446133283
194	8.420339739
195	8.388413387
196	8.362405059
197	8.345296389
198	8.33037076
199	8.310439633
200	8.276760457
201	8.24872282
202	8.217955709
203	8.19476826
204	8.178882654
205	8.16061521
206	8.133138175
207	8.101917918
208	8.079477331
209	8.053036022
210	8.032604393
211	8.016377145
212	7.99406916
213	7.971000366
214	7.940953274
215	7.92268138
216	7.899061787
217	7.884394198
218	7.862312851
219	7.844091426
220	7.826724449
221	7.80781026
222	7.78176777
223	7.767713038
224	7.740799455
225	7.723736631
226	7.706080406
227	7.693480492
228	7.676575405
229	7.649262374
230	7.634871797
231	7.610622373
232	7.598119325
233	7.578408677
234	7.566501603
235	7.542344679
236	7.518574925
237	7.502380546
238	7.483491988
239	7.460292921
240	7.450773396
241	7.434562694
242	7.418792137
243	7.402921753
244	7.386166206
245	7.37208033
246	7.362553325
247	7.343055048
248	7.333373393
249	7.317367733
250	7.304096559
251	7.293593042
252	7.27017007
253	7.247574855
254	7.234432522
255	7.219778882
256	7.206554142
257	7.190775885
258	7.170295496
259	7.150270303
260	7.132689811
261	7.116778763
262	7.103829439
263	7.084304207
264	7.075880059
265	7.063207086
266	7.051267009
267	7.036529295
268	7.025085682
269	7.016764789
270	7.002726415
271	6.984296847
272	6.967616346
273	6.954621948
274	6.939564025
275	6.931861067
276	6.914532077
277	6.902034905
278	6.886389968
279	6.873675906
280	6.86206823
281	6.845291917
282	6.83379388
283	6.82103961
284	6.810432137
285	6.794160076
286	6.78522131
287	6.775309536
288	6.761348659
289	6.746515643
290	6.731594581
291	6.71745672
292	6.70336386
293	6.691756609
294	6.675937675
295	6.661377699
296	6.651397014
297	6.642932503
298	6.63124787
299	6.622224169
300	6.61021419
301	6.598588821
302	6.589684298
303	6.579387027
304	6.567746317
305	6.554129938
306	6.545419403
307	6.528326146
308	6.520815256
309	6.510359536
310	6.498222864
311	6.489564092
312	6.479316892
313	6.4672811
314	6.453225136
315	6.439048898
316	6.424098794
317	6.412704446
318	6.402459212
319	6.390851496
320	6.37606917
321	6.364952552
322	6.354956773
323	6.345792234
324	6.338056419
325	6.326254369
326	6.316210958
327	6.305523721
328	6.292796636
329	6.283877482
330	6.275821804
331	6.267345605
332	6.247511788
333	6.233198602
334	6.216789298
335	6.20567294
336	6.196075211
337	6.187997356
338	6.17797156
339	6.166199842
340	6.151886175
341	6.142104763
342	6.133022999
343	6.123861822
344	6.116736224
345	6.110632987
346	6.101633497
347	6.095268053
348	6.082811337
349	6.074256072
350	6.0666904
351	6.053922103
352	6.046730434
353	6.037419888
354	6.029868392
355	6.017956895
356	6.01033428
357	6.000140312
358	5.988820127
359	5.980387958
360	5.972787606
361	5.960864006
362	5.953190718
363	5.944624107
364	5.935884125
365	5.9243683
366	5.911530324
367	5.900843714
368	5.892881498
369	5.886954356
370	5.879157371
371	5.874353406
372	5.865551312
373	5.859683132
374	5.845548251
375	5.838439705
376	5.828013511
377	5.819588553
378	5.813298007
379	5.80381246
380	5.794110991
381	5.783387649
382	5.772826291
383	5.764893034
384	5.754758029
385	5.748283196
386	5.740105645
387	5.732755437
388	5.725280405
389	5.71164796
390	5.70258975
391	5.694049155
392	5.685797345
393	5.675136277
394	5.670908567
395	5.659939669
396	5.653451819
397	5.644546868
398	5.638817167
399	5.631766342
400	5.621905527
401	5.615680953
402	5.60244879
403	5.593521264
404	5.58572288
405	5.57389875
406	5.565487093
407	5.55911342
408	5.552315189
409	5.547531622
410	5.538533169
411	5.534057038
412	5.525835691
413	5.511234946
414	5.503841852
415	5.499570027
416	5.493795406
417	5.486672999
418	5.479382169
419	5.472270103
420	5.467387404
421	5.458611198
422	5.45156567
423	5.443508098
424	5.436499583
425	5.431504193
426	5.420575429
427	5.414483013
428	5.407645004
429	5.403357486
430	5.393933784
431	5.382290137
432	5.376863099
433	5.368455055
434	5.361862089
435	5.355771919
436	5.345314882
437	5.338614829
438	5.333154025
439	5.327565004
440	5.321408861
441	5.314882039
442	5.309249228
443	5.302866805
444	5.296600921
445	5.290043451
446	5.285377187
447	5.278513272
448	5.2722294
449	5.265391431
450	5.260075618
451	5.25512968
452	5.250229001
453	5.243061938
454	5.237158965
455	5.231055223
456	5.223824137
457	5.21786799
458	5.205713322
459	5.198577375
460	5.194252288
461	5.189044878
462	5.183980803
463	5.178690678
464	5.173654915
465	5.164624656
466	5.15816928
467	5.15140109
468	5.145955632
469	5.13558328
470	5.128325508
471	5.125693068
472	5.121687324
473	5.117384628
474	5.111376782
475	5.105096641
476	5.100158477
477	5.095156654
478	5.087555169
479	5.083842593
480	5.076779172
481	5.072070618
482	5.068223464
483	5.058611721
484	5.051792839
485	5.043867881
486	5.03939337
487	5.034128453
488	5.02837292
489	5.025042858
490	5.018214404
491	5.012403844
492	5.008318805
493	5.002362763
494	4.998018072
495	4.992290548
496	4.98761658
497	4.983575972
498	4.978374548
499	4.97378615
