iter	Passed	Remaining
404	7261	1703
405	7278	1685
406	7297	1667
407	7316	1649
408	7327	1630
409	7341	1611
410	7358	1593
411	7374	1575
412	7393	1557
413	7407	1538
414	7422	1520
415	7435	1501
416	7450	1482
417	7462	1463
418	7482	1446
419	7497	1428
420	7508	1409
421	7520	1390
422	7534	1371
423	7548	1353
424	7565	1335
425	7582	1317
426	7600	1299
427	7616	1281
428	7633	1263
429	7645	1244
430	7661	1226
431	7675	1208
432	7690	1189
433	7704	1171
434	7715	1152
435	7730	1134
436	7749	1117
437	7764	1099
438	7778	1080
439	7794	1062
440	7812	1045
441	7831	1027
442	7850	1010
443	7864	991
444	7884	974
445	7903	956
446	7921	939
447	7944	922
448	7959	904
449	7977	886
450	7994	868
451	8013	850
452	8033	833
453	8049	815
454	8063	797
455	8083	779
456	8102	762
457	8117	744
458	8132	726
459	8149	708
460	8165	690
461	8179	672
462	8197	655
463	8214	637
464	8230	619
465	8245	601
466	8261	583
467	8279	566
468	8292	548
469	8312	530
470	8327	512
471	8344	495
472	8357	477
473	8376	459
474	8390	441
475	8407	423
476	8424	406
477	8438	388
478	8453	370
479	8470	352
480	8482	335
481	8497	317
482	8510	299
483	8528	281
484	8544	264
485	8556	246
486	8570	228
487	8586	211
488	8602	193
489	8617	175
490	8633	158
491	8646	140
492	8661	122
493	8672	105
494	8691	87
495	8709	70
496	8728	52
497	8741	35
498	8752	17
499	8766	0
