iter	Passed	Remaining
0	11	5739
1	29	7222
2	47	7863
3	57	7133
4	72	7224
5	83	6911
6	107	7572
7	122	7507
8	132	7224
9	145	7112
10	158	7027
11	168	6867
12	184	6898
13	195	6798
14	205	6639
15	219	6651
16	235	6684
17	252	6749
18	269	6817
19	286	6882
20	303	6912
21	320	6957
22	337	6991
23	352	6991
24	368	7005
25	383	6986
26	398	6979
27	415	7001
28	431	7012
29	446	6996
30	463	7015
31	477	6988
32	494	7000
33	510	7002
34	525	6982
35	537	6931
36	552	6912
37	568	6913
38	583	6896
39	594	6832
40	607	6802
41	618	6741
42	636	6763
43	650	6736
44	667	6744
45	684	6756
46	694	6697
47	707	6663
48	716	6598
49	731	6579
50	747	6582
51	762	6569
52	775	6537
53	790	6530
54	806	6525
55	820	6506
56	837	6511
57	853	6504
58	873	6528
59	892	6545
60	911	6557
61	928	6561
62	945	6559
63	963	6563
64	979	6557
65	994	6542
66	1007	6510
67	1026	6519
68	1043	6518
69	1059	6506
70	1075	6496
71	1091	6485
72	1105	6466
73	1120	6448
74	1136	6442
75	1146	6394
76	1164	6397
77	1181	6392
78	1193	6357
79	1210	6357
80	1228	6354
81	1244	6345
82	1257	6316
83	1276	6321
84	1291	6305
85	1307	6294
86	1325	6291
87	1339	6270
88	1353	6249
89	1368	6235
90	1385	6225
91	1400	6209
92	1417	6204
93	1434	6197
94	1450	6185
95	1467	6176
96	1482	6159
97	1500	6155
98	1517	6147
99	1536	6146
100	1550	6123
101	1566	6113
102	1581	6095
103	1599	6091
104	1618	6087
105	1634	6077
106	1651	6064
107	1669	6058
108	1684	6041
109	1699	6026
110	1713	6005
111	1728	5989
112	1742	5967
113	1757	5950
114	1768	5921
115	1780	5894
116	1790	5860
117	1801	5832
118	1815	5811
119	1826	5784
120	1844	5778
121	1864	5775
122	1879	5761
123	1895	5748
124	1909	5728
125	1924	5712
126	1936	5687
127	1953	5677
128	1970	5667
129	1987	5656
130	1998	5628
131	2012	5609
132	2028	5597
133	2041	5575
134	2060	5572
135	2075	5554
136	2088	5535
137	2100	5509
138	2114	5492
139	2131	5481
140	2148	5470
141	2167	5464
142	2183	5451
143	2201	5443
144	2219	5433
145	2236	5423
146	2253	5411
147	2272	5404
148	2286	5386
149	2302	5372
150	2315	5351
151	2331	5338
152	2351	5332
153	2364	5312
154	2383	5304
155	2400	5293
156	2418	5283
157	2431	5262
158	2443	5240
159	2459	5226
160	2469	5199
161	2485	5186
162	2502	5174
163	2517	5157
164	2530	5138
165	2545	5121
166	2560	5104
167	2570	5079
168	2586	5066
169	2604	5055
170	2618	5037
171	2629	5014
172	2646	5002
173	2659	4983
174	2673	4965
175	2684	4942
176	2700	4927
177	2711	4904
178	2720	4878
179	2730	4854
180	2741	4831
181	2753	4810
182	2766	4792
183	2786	4784
184	2798	4765
185	2815	4752
186	2829	4736
187	2843	4719
188	2856	4700
189	2871	4685
190	2889	4674
191	2906	4662
192	2918	4641
193	2933	4627
194	2953	4618
195	2966	4601
196	2981	4586
197	2999	4574
198	3014	4560
199	3026	4539
200	3042	4525
201	3054	4505
202	3069	4491
203	3080	4469
204	3095	4453
205	3107	4434
206	3124	4422
207	3140	4408
208	3159	4398
209	3176	4386
210	3189	4368
211	3201	4348
212	3218	4337
213	3233	4321
214	3249	4307
215	3260	4286
216	3270	4265
217	3281	4244
218	3296	4229
219	3367	4285
220	3386	4275
221	3405	4264
222	3423	4251
223	3433	4231
224	3450	4217
225	3467	4203
226	3484	4190
227	3502	4178
228	3512	4156
229	3529	4143
230	3548	4131
231	3566	4119
232	3579	4102
233	3598	4090
234	3615	4076
235	3633	4064
236	3648	4048
237	3665	4034
238	3682	4021
239	3700	4008
240	3712	3989
241	3729	3976
242	3746	3962
243	3758	3943
244	3774	3928
245	3792	3915
246	3805	3898
247	3819	3881
248	3833	3864
249	3848	3848
250	3858	3828
251	3875	3813
252	3891	3799
253	3908	3785
254	3923	3770
255	3942	3757
256	3962	3746
257	3979	3732
258	3997	3719
259	4006	3698
260	4019	3680
261	4035	3665
262	4052	3651
263	4069	3638
264	4080	3618
265	4093	3600
266	4107	3584
267	4125	3570
268	4137	3552
269	4152	3537
270	4170	3523
271	4184	3507
272	4202	3494
273	4213	3475
274	4230	3461
275	4247	3447
276	4260	3429
277	4277	3415
278	4289	3397
279	4305	3382
280	4316	3364
281	4331	3348
282	4344	3331
283	4355	3312
284	4365	3293
285	4381	3278
286	4396	3263
287	4414	3249
288	4431	3235
289	4446	3219
290	4459	3203
291	4477	3189
292	4494	3175
293	4508	3159
294	4520	3141
295	4531	3123
296	4545	3107
297	4558	3089
298	4571	3072
299	4586	3057
300	4602	3042
301	4621	3029
302	4635	3013
303	4649	2997
304	4669	2985
305	4680	2967
306	4699	2954
307	4715	2939
308	4730	2923
309	4743	2907
310	4755	2890
311	4764	2871
312	4777	2854
313	4793	2839
314	4808	2823
315	4826	2810
316	4842	2795
317	4859	2780
318	4872	2764
319	4885	2748
320	4901	2733
321	4914	2716
322	4928	2700
323	4943	2685
324	4960	2670
325	4976	2656
326	4991	2640
327	5007	2625
328	5023	2611
329	5037	2594
330	5048	2577
331	5059	2560
332	5074	2544
333	5087	2528
334	5104	2514
335	5121	2499
336	5136	2484
337	5149	2468
338	5164	2452
339	5175	2435
340	5187	2418
341	5199	2402
342	5217	2388
343	5230	2371
344	5248	2358
345	5257	2339
346	5269	2323
347	5282	2307
348	5296	2291
349	5313	2277
350	5330	2262
351	5345	2247
352	5363	2233
353	5377	2217
354	5390	2201
355	5406	2186
356	5419	2171
357	5429	2153
358	5446	2139
359	5463	2124
360	5481	2110
361	5498	2096
362	5516	2081
363	5528	2065
364	5542	2049
365	5555	2033
366	5570	2018
367	5588	2004
368	5600	1988
369	5617	1973
370	5634	1959
371	5649	1944
372	5668	1929
373	5679	1913
374	5691	1897
375	5705	1881
376	5720	1866
377	5736	1851
378	5749	1835
379	5761	1819
380	5779	1805
381	5793	1789
382	5811	1775
383	5827	1760
384	5843	1745
385	5854	1728
386	5870	1714
387	5884	1698
388	5895	1682
389	5911	1667
390	5927	1652
391	5945	1637
392	5961	1623
393	5980	1608
394	5998	1594
395	6015	1579
396	6032	1565
397	6044	1549
398	6060	1534
399	6078	1519
400	6095	1504
401	6109	1489
402	6119	1472
403	6131	1456
404	6148	1442
405	6165	1427
