iter	RMSE
0	1034.128074
1	931.6177036
2	839.9894378
3	756.9778063
4	681.959887
5	614.4936552
6	553.9151361
7	499.1236627
8	449.775017
9	405.5630016
10	365.9316289
11	329.9508775
12	297.5506112
13	268.499165
14	242.1600372
15	218.685111
16	197.5000837
17	178.3237625
18	161.1206575
19	145.71081
20	131.9407352
21	119.4233492
22	108.1778183
23	98.10233771
24	89.02721011
25	80.88603523
26	73.58212864
27	66.94669199
28	61.1504583
29	55.9302999
30	51.3023103
31	47.12829025
32	43.37139596
33	40.06089689
34	37.09777782
35	34.46187843
36	32.11014959
37	30.0504576
38	28.24568023
39	26.62877083
40	25.24923655
41	24.03773457
42	22.99912785
43	22.01820571
44	21.19716338
45	20.52099635
46	19.87038493
47	19.37465374
48	18.84732294
49	18.47721648
50	18.1052706
51	17.70007229
52	17.4311915
53	17.11285456
54	16.89942464
55	16.61202043
56	16.39240632
57	16.16522281
58	15.96830996
59	15.77077512
60	15.57537549
61	15.37610319
62	15.25762406
63	15.12838491
64	14.98182124
65	14.85400933
66	14.70589096
67	14.6118028
68	14.52566932
69	14.41598117
70	14.26458082
71	14.14222839
72	14.04903985
73	13.96293875
74	13.87436088
75	13.80842229
76	13.72136114
77	13.60655634
78	13.55050044
79	13.45435557
80	13.34555286
81	13.24886689
82	13.18397667
83	13.1188629
84	13.06839141
85	12.96195132
86	12.90932227
87	12.84229955
88	12.78129237
89	12.6983993
90	12.62385321
91	12.57853605
92	12.52824914
93	12.46104333
94	12.40407453
95	12.34530097
96	12.27865854
97	12.19835227
98	12.12157679
99	12.05319488
100	12.01246101
101	11.94087307
102	11.88027319
103	11.82283699
104	11.78351376
105	11.73581271
106	11.68784309
107	11.62214587
108	11.57158219
109	11.52149708
110	11.44254919
111	11.40135902
112	11.35736694
113	11.30484162
114	11.25412055
115	11.20452935
116	11.16225729
117	11.13056519
118	11.07550632
119	11.00705272
120	10.96145081
121	10.91591053
122	10.87137382
123	10.84511854
124	10.79663184
125	10.75714282
126	10.73996718
127	10.66987696
128	10.6353442
129	10.59297808
130	10.55326471
131	10.49843598
132	10.45396968
133	10.43044482
134	10.37014451
135	10.33358393
136	10.30707772
137	10.26440828
138	10.22329566
139	10.17245312
140	10.13070653
141	10.09250426
142	10.04232665
143	10.00713723
144	9.971071099
145	9.930118635
146	9.89444554
147	9.866922925
148	9.835619239
149	9.813641294
150	9.78661653
151	9.752100064
152	9.721242807
153	9.681382425
154	9.662676557
155	9.629736443
156	9.610369096
157	9.578051482
158	9.554647302
159	9.515948143
160	9.502465582
161	9.458630369
162	9.433354925
163	9.406561655
164	9.376233156
165	9.351871898
166	9.309282037
167	9.275563763
168	9.247325672
169	9.225351551
170	9.190403817
171	9.165920414
172	9.129211934
173	9.097916326
174	9.070955414
175	9.041109169
176	9.014621283
177	8.984325278
178	8.955916425
179	8.923702478
180	8.902305535
181	8.884806056
182	8.863854176
183	8.827376182
184	8.804456496
185	8.774232982
186	8.743544362
187	8.713076597
188	8.677632463
189	8.662551242
190	8.639999378
191	8.616020387
192	8.602072676
193	8.570952189
194	8.546022097
195	8.515898381
196	8.505485557
197	8.481857849
198	8.459637344
199	8.431521225
200	8.39941484
201	8.385702627
202	8.368594751
203	8.345426576
204	8.319316993
205	8.302986336
206	8.284375888
207	8.265902346
208	8.242737831
209	8.225366196
210	8.203265354
211	8.180971896
212	8.165264439
213	8.143601352
214	8.127970926
215	8.111083315
216	8.092808196
217	8.070530725
218	8.053771897
219	8.038567123
220	8.024090765
221	8.010813299
222	7.998472136
223	7.980184933
224	7.965349331
225	7.947112849
