iter	Passed	Remaining
0	23	11849
1	38	9491
2	50	8341
3	69	8603
4	85	8478
5	101	8329
6	113	8015
7	131	8112
8	145	7925
9	163	8030
10	180	8036
11	197	8044
12	213	8003
13	230	7987
14	242	7839
15	256	7769
16	278	7913
17	292	7839
18	305	7733
19	319	7676
20	331	7554
21	347	7551
22	360	7468
23	373	7410
24	391	7440
25	407	7420
26	419	7342
27	431	7274
28	443	7202
29	456	7146
30	474	7181
31	490	7179
32	506	7171
33	520	7128
34	531	7065
35	545	7035
36	558	6985
37	570	6935
38	583	6897
39	596	6858
40	610	6833
41	622	6790
42	642	6833
43	656	6803
44	669	6765
45	684	6756
46	697	6727
47	711	6697
48	726	6683
49	740	6661
50	752	6625
51	766	6599
52	777	6560
53	791	6539
54	808	6543
55	823	6530
56	839	6523
57	855	6520
58	866	6475
59	878	6443
60	890	6409
61	907	6408
62	926	6424
63	939	6398
64	954	6385
65	970	6380
66	981	6343
67	992	6308
68	1011	6316
69	1030	6329
70	1045	6316
71	1062	6313
72	1083	6339
73	1109	6386
74	1124	6374
75	1144	6387
76	1159	6368
77	1174	6356
78	1198	6387
79	1220	6409
80	1234	6387
81	1250	6374
82	1267	6370
83	1283	6355
84	1299	6342
85	1311	6313
86	1329	6311
87	1348	6315
88	1362	6293
89	1379	6285
90	1395	6274
91	1408	6244
92	1422	6225
93	1447	6249
94	1468	6259
95	1487	6259
96	1518	6306
97	1555	6382
98	1606	6507
99	1658	6632
100	1716	6780
101	1778	6940
102	1806	6961
103	1841	7012
104	1863	7008
105	1884	7003
106	1910	7018
107	1928	7000
108	1952	7003
109	1978	7013
110	1993	6984
111	2013	6975
112	2031	6957
113	2045	6927
114	2062	6904
115	2084	6901
116	2102	6882
117	2125	6881
118	2146	6871
119	2170	6872
120	2187	6851
121	2205	6833
122	2232	6843
123	2248	6817
124	2267	6803
125	2293	6807
126	2308	6779
127	2325	6757
128	2340	6731
129	2362	6725
130	2378	6698
131	2389	6662
132	2402	6630
133	2416	6599
134	2428	6565
135	2445	6545
136	2459	6517
137	2477	6498
138	2495	6481
139	2512	6460
140	2526	6433
141	2549	6427
142	2564	6403
143	2581	6381
144	2608	6386
145	2631	6381
146	2645	6353
147	2657	6321
148	2682	6318
149	2707	6316
150	2725	6298
151	2745	6286
152	2769	6282
153	2790	6270
154	2811	6257
155	2831	6243
156	2846	6217
157	2861	6194
158	2876	6168
159	2895	6153
160	2909	6127
161	2922	6097
162	2937	6073
163	2961	6067
164	2975	6040
165	2988	6013
166	3009	6000
167	3020	5968
168	3035	5944
169	3055	5932
170	3075	5916
171	3090	5893
172	3100	5860
173	3111	5829
174	3124	5803
175	3143	5787
176	3162	5771
177	3182	5756
178	3196	5731
179	3206	5700
180	3222	5679
181	3232	5647
182	3244	5619
183	3257	5594
184	3269	5567
185	3280	5538
186	3295	5515
187	3309	5491
188	3319	5462
189	3332	5436
190	3344	5410
191	3357	5385
192	3370	5360
193	3381	5334
194	3396	5312
